sample_index,label,mean_filter_mse,autoencoder_mse
65,0,0.159193,0.072808
58,0,0.126510,0.073735
87,0,0.151368,0.098311
29,0,0.136986,0.077079
85,0,0.138105,0.094290
41,0,0.138833,0.070465
55,0,0.144731,0.071833
49,0,0.164398,0.078106
81,0,0.138549,0.073043
32,0,0.143157,0.095730
40,0,0.138550,0.077356
8,0,0.160319,0.059479
73,0,0.137279,0.068267
25,0,0.139375,0.106992
36,0,0.147330,0.107903
89,0,0.140110,0.089388
47,0,0.135280,0.098017
37,0,0.153837,0.081842
84,0,0.140997,0.061995
54,0,0.143097,0.075052
78,0,0.147338,0.092498
79,0,0.150124,0.083541
38,0,0.133690,0.096924
109,1,0.088435,0.089345
140,1,0.079229,0.099519
159,1,0.081104,0.083066
171,1,0.117254,0.108768
130,1,0.112206,0.112545
168,1,0.166891,0.153284
100,1,0.098228,0.096016
131,1,0.084001,0.092968
169,1,0.084347,0.098937
154,1,0.127095,0.119372
141,1,0.111684,0.108131
165,1,0.098406,0.126999
97,1,0.104968,0.082599
121,1,0.106367,0.109633
146,1,0.110164,0.115841
102,1,0.111624,0.097332
124,1,0.114678,0.120055
174,1,0.091144,0.096755
160,1,0.136262,0.108005
148,1,0.116221,0.106287
91,1,0.117111,0.105653
127,1,0.092659,0.095551
176,1,0.097108,0.102270
222,2,0.157334,0.099834
187,2,0.164473,0.116466
256,2,0.142614,0.089339
188,2,0.155445,0.110466
267,2,0.150855,0.071580
253,2,0.138470,0.067800
250,2,0.145411,0.081287
254,2,0.142260,0.102554
266,2,0.171455,0.114498
184,2,0.155557,0.109248
251,2,0.137867,0.075557
213,2,0.144576,0.090609
248,2,0.149476,0.078004
252,2,0.150001,0.104348
228,2,0.149877,0.075410
225,2,0.155954,0.117811
220,2,0.169864,0.110972
223,2,0.135049,0.086405
265,2,0.129795,0.073865
209,2,0.134141,0.067745
219,2,0.150183,0.130623
210,2,0.158360,0.101683
244,2,0.147698,0.082409
355,3,0.135365,0.090250
302,3,0.170981,0.091447
306,3,0.151159,0.066124
272,3,0.173620,0.085648
309,3,0.145400,0.106579
280,3,0.167035,0.080027
290,3,0.161055,0.084404
334,3,0.175506,0.076473
353,3,0.159175,0.080675
277,3,0.166114,0.094665
301,3,0.152796,0.106362
307,3,0.167649,0.096408
314,3,0.156850,0.087629
315,3,0.152306,0.079898
349,3,0.165084,0.094595
319,3,0.160974,0.069399
338,3,0.175193,0.092769
271,3,0.165420,0.085425
329,3,0.165634,0.087144
335,3,0.164078,0.101200
330,3,0.145672,0.086076
284,3,0.163925,0.086671
323,3,0.155541,0.114280
374,4,0.105248,0.111298
436,4,0.105166,0.078222
416,4,0.104311,0.116657
404,4,0.137207,0.102941
372,4,0.127527,0.140003
379,4,0.100174,0.115771
421,4,0.097055,0.110187
409,4,0.148562,0.105477
369,4,0.152531,0.138975
405,4,0.136745,0.104256
391,4,0.127731,0.101259
387,4,0.120368,0.140151
444,4,0.091495,0.071741
419,4,0.114805,0.100828
411,4,0.144524,0.128692
434,4,0.119886,0.135558
449,4,0.141417,0.099091
446,4,0.118459,0.103461
425,4,0.094901,0.073839
431,4,0.134382,0.104623
397,4,0.108249,0.136181
448,4,0.116727,0.118191
366,4,0.119702,0.090690
513,5,0.157148,0.067972
529,5,0.160977,0.072710
480,5,0.151394,0.066530
460,5,0.166319,0.072174
536,5,0.162608,0.076614
503,5,0.152878,0.074377
499,5,0.142880,0.077706
476,5,0.183713,0.085094
463,5,0.158573,0.074980
496,5,0.166095,0.071158
488,5,0.166973,0.065798
467,5,0.166421,0.092056
479,5,0.178121,0.103927
470,5,0.150106,0.064448
497,5,0.157310,0.057533
522,5,0.171542,0.078589
485,5,0.157513,0.079332
495,5,0.168643,0.089953
483,5,0.163229,0.086889
505,5,0.142454,0.058649
450,5,0.160574,0.076533
494,5,0.146001,0.074418
526,5,0.142589,0.057361
548,6,0.156573,0.069117
620,6,0.149644,0.074607
626,6,0.180118,0.087360
614,6,0.142809,0.075833
563,6,0.155860,0.092140
581,6,0.154625,0.078071
556,6,0.140918,0.068886
597,6,0.163444,0.084188
624,6,0.152359,0.065355
587,6,0.162898,0.097458
576,6,0.143307,0.079016
565,6,0.163735,0.067679
558,6,0.140729,0.074109
596,6,0.155115,0.079081
555,6,0.143170,0.058871
594,6,0.159992,0.097034
627,6,0.158707,0.055313
564,6,0.147562,0.057064
580,6,0.145718,0.065255
590,6,0.147520,0.085778
615,6,0.148845,0.068823
593,6,0.153339,0.067201
544,6,0.155219,0.099737
666,7,0.136980,0.119834
713,7,0.150304,0.091300
632,7,0.081466,0.094847
654,7,0.115955,0.111161
686,7,0.138727,0.093831
673,7,0.118398,0.122660
712,7,0.118406,0.078782
670,7,0.119923,0.116817
694,7,0.095188,0.103761
669,7,0.104990,0.110716
699,7,0.094530,0.098257
693,7,0.075148,0.094396
641,7,0.084380,0.099512
696,7,0.089552,0.098338
684,7,0.112487,0.101419
674,7,0.095279,0.112360
633,7,0.078573,0.091508
700,7,0.117608,0.114950
636,7,0.078866,0.094218
705,7,0.087203,0.088329
676,7,0.095212,0.105743
642,7,0.110744,0.114099
710,7,0.089550,0.094285
760,8,0.152179,0.069595
764,8,0.177354,0.086992
744,8,0.175677,0.071865
809,8,0.149897,0.066067
794,8,0.176316,0.082111
758,8,0.157515,0.069044
784,8,0.159846,0.066750
776,8,0.180229,0.068968
736,8,0.158432,0.074994
752,8,0.156120,0.060164
798,8,0.160137,0.066409
738,8,0.177507,0.071988
780,8,0.167094,0.077932
742,8,0.153399,0.070295
756,8,0.169289,0.060799
730,8,0.173938,0.065268
757,8,0.160211,0.054601
799,8,0.169425,0.078560
748,8,0.169431,0.076260
724,8,0.161388,0.068619
739,8,0.165678,0.058866
735,8,0.152448,0.068991
805,8,0.159198,0.065264
898,9,0.150084,0.135047
810,9,0.150920,0.122894
854,9,0.146754,0.095421
899,9,0.159841,0.102456
869,9,0.158054,0.115701
823,9,0.154014,0.120937
860,9,0.154022,0.114107
832,9,0.165188,0.097456
897,9,0.147331,0.138983
875,9,0.156077,0.089675
874,9,0.150686,0.107594
877,9,0.150657,0.104638
827,9,0.146471,0.121753
844,9,0.165526,0.135329
876,9,0.147392,0.063380
868,9,0.147627,0.115419
857,9,0.175374,0.098392
822,9,0.141178,0.097376
846,9,0.138089,0.116110
836,9,0.172489,0.118929
885,9,0.170955,0.098938
856,9,0.158991,0.106716
814,9,0.166828,0.116763
